 BioFeedBack,
,
Material,
,
Anzahl,Bezeichnung 
1,Gehäuse z.B. 170 mm X 120nn X 55 mm
1,Arduino Nano
1,10 Segment LED Bar
1,10 mm RGB LED
1,5mm LED rot
1,Batteriefach für 6 AA Akkus
1,Lochrasterplattine
1,IC TL072
1,IR-LED 940 nm
1,IR Photodiode 940 nm
1,Elko 10 uF
1,Kondensator 100 nF
1,Kondensator 10 nF
1,Widerstand 120 ?
1,Widerstand 56 K
2,Widerstand 220 K
1,"Widerstand 2,2 M"
1,"Widerstand 4,7 M"
1,Widerstand 10 K
1,"Widerstand 3,3 K"
1,Widerstand 150 k
10,Widerstand 470 ?
1,Widerstand 220 ?
2,Widerstand 100 ?
